MES	PRODUCTO	CLIENTE	VENDEDOR_CODIGO	COSTO	PRECIO	CANTIDAD	COSTO TOTAL	VENTA TOTAL	GANANCIA	MARGEN
AGOSTO	BEBIDA	MIGUELO JUANETE	1	 $1.000 	 $1.800 	1	 $1.000 	 $1.800 	 $800 	44%
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	44%
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	44%
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	 $1.000 	 $1.800 	7	 $7.000 	 $12.600 	 $5.600 	44%
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	 $1.000 	 $1.800 	3	 $3.000 	 $5.400 	 $2.400 	44%
AGOSTO	BEBIDA	MIGUELO JUANETE	1	 $1.000 	 $1.800 	4	 $4.000 	 $7.200 	 $3.200 	44%
AGOSTO	BEBIDA	MIGUELO JUANETE	1	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	44%
AGOSTO	CARNE	MIGUELO JUANETE	2	 $5.000 	 $9.000 	3	 $15.000 	 $27.000 	 $12.000 	44%
AGOSTO	CARNE	MIGUELO JUANETE	2	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	44%
AGOSTO	CARNE	MIGUELO JUANETE	2	 $5.000 	 $9.000 	1	 $5.000 	 $9.000 	 $4.000 	44%
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	 $500 	 $900 	4	 $2.000 	 $3.600 	 $1.600 	44%
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	 $500 	 $900 	4	 $2.000 	 $3.600 	 $1.600 	44%
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	44%
AGOSTO	VERDURAS	ALBERTO MALAGANA	3	 $500 	 $900 	5	 $2.500 	 $4.500 	 $2.000 	44%
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	 $500 	 $900 	10	 $5.000 	 $9.000 	 $4.000 	44%
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	 $500 	 $900 	3	 $1.500 	 $2.700 	 $1.200 	44%
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	 $500 	 $900 	7	 $3.500 	 $6.300 	 $2.800 	44%
AGOSTO	VERDURAS	ALEJANDRO ORTIZ	3	 $500 	 $900 	9	 $4.500 	 $8.100 	 $3.600 	44%
JULIO	BEBIDA	ALBERTO MALAGANA	1	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	44%
JULIO	BEBIDA	ALBERTO MALAGANA	1	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	44%
JULIO	BEBIDA	ANDRA KOURNIKOVA	1	 $1.000 	 $1.800 	1	 $1.000 	 $1.800 	 $800 	44%
JULIO	BEBIDA	ANDRA KOURNIKOVA	1	 $1.000 	 $1.800 	9	 $9.000 	 $16.200 	 $7.200 	44%
JULIO	CARNE	ANDRA KOURNIKOVA	2	 $5.000 	 $9.000 	5	 $25.000 	 $45.000 	 $20.000 	44%
JULIO	CARNE	MIGUELO JUANETE	2	 $5.000 	 $9.000 	8	 $40.000 	 $72.000 	 $32.000 	44%
JULIO	CARNE	ANDRA KOURNIKOVA	2	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	44%
JULIO	CARNE	ALEJANDRO ORTIZ	2	 $5.000 	 $9.000 	10	 $50.000 	 $90.000 	 $40.000 	44%
JULIO	CARNE	ANDRA KOURNIKOVA	2	 $5.000 	 $9.000 	5	 $25.000 	 $45.000 	 $20.000 	44%
JULIO	CARNE	ALBERTO MALAGANA	2	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	44%
JULIO	CARNE	PEDRO PICAPIEDRA	2	 $5.000 	 $9.000 	2	 $10.000 	 $18.000 	 $8.000 	44%
JULIO	CARNE	PEDRO PICAPIEDRA	2	 $5.000 	 $9.000 	7	 $35.000 	 $63.000 	 $28.000 	44%
JULIO	CARNE	PEDRO PICAPIEDRA	2	 $5.000 	 $9.000 	7	 $35.000 	 $63.000 	 $28.000 	44%
JULIO	CARNE	PEDRO PICAPIEDRA	2	 $5.000 	 $9.000 	2	 $10.000 	 $18.000 	 $8.000 	44%
