MES	PRODUCTO	CLIENTE	VENDEDOR_CODIGO	DSTO	COSTO	PRECIO	CANTIDAD	COSTO TOTAL	VENTA TOTAL	GANANCIA BRUTA	VENTAS RELATIVAS BRUTAS	DSCTO TOTAL	VENTA TOTAL NETA	GANANCIA NETA	VENTA RETALIVA NETA	 MARGEN DE GANACIA 
AGOSTO	BEBIDA	MIGUELO JUANETE	1	0,06427199	 $1.000 	 $1.800 	1	 $1.000 	 $1.800 	 $800 	0,09%	 $116 	 $1.684 	 $684 	0,08%	0,406285214
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	0,090444583	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $1.302 	 $13.098 	 $5.098 	0,65%	0,389200982
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	0,065297699	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	0,43%	 $588 	 $8.412 	 $3.412 	0,42%	0,405633692
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	0,030383798	 $1.000 	 $1.800 	7	 $7.000 	 $12.600 	 $5.600 	0,60%	 $383 	 $12.217 	 $5.217 	0,60%	0,42703561
AGOSTO	BEBIDA	PEDRO PICAPIEDRA	1	0,019938614	 $1.000 	 $1.800 	3	 $3.000 	 $5.400 	 $2.400 	0,26%	 $108 	 $5.292 	 $2.292 	0,26%	0,433142083
AGOSTO	BEBIDA	MIGUELO JUANETE	1	0,000107366	 $1.000 	 $1.800 	4	 $4.000 	 $7.200 	 $3.200 	0,34%	 $1 	 $7.199 	 $3.199 	0,36%	0,44438479
AGOSTO	BEBIDA	MIGUELO JUANETE	1	0,095679549	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	0,43%	 $861 	 $8.139 	 $3.139 	0,40%	0,385665164
JULIO	BEBIDA	ALBERTO MALAGANA	1	0,089203095	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $1.285 	 $13.115 	 $5.115 	0,65%	0,390033549
JULIO	BEBIDA	ALBERTO MALAGANA	1	0,007128936	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $103 	 $14.297 	 $6.297 	0,71%	0,440455487
JULIO	BEBIDA	ANDRA KOURNIKOVA	1	0,079618217	 $1.000 	 $1.800 	1	 $1.000 	 $1.800 	 $800 	0,09%	 $143 	 $1.657 	 $657 	0,08%	0,396385754
JULIO	BEBIDA	ANDRA KOURNIKOVA	1	0,042144762	 $1.000 	 $1.800 	9	 $9.000 	 $16.200 	 $7.200 	0,77%	 $683 	 $15.517 	 $6.517 	0,77%	0,420000503
JUNIO	BEBIDA	ALEJANDRO ORTIZ	1	0,046986158	 $1.000 	 $1.800 	4	 $4.000 	 $7.200 	 $3.200 	0,34%	 $338 	 $6.862 	 $2.862 	0,34%	0,417054054
JUNIO	BEBIDA	ALEJANDRO ORTIZ	1	0,048761049	 $1.000 	 $1.800 	6	 $6.000 	 $10.800 	 $4.800 	0,51%	 $527 	 $10.273 	 $4.273 	0,51%	0,415966351
JUNIO	BEBIDA	ALEJANDRO ORTIZ	1	0,067575991	 $1.000 	 $1.800 	6	 $6.000 	 $10.800 	 $4.800 	0,51%	 $730 	 $10.070 	 $4.070 	0,50%	0,404181413
JUNIO	BEBIDA	ALEJANDRO ORTIZ	1	0,001051304	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $15 	 $14.385 	 $6.385 	0,71%	0,443859772
JUNIO	BEBIDA	ALEJANDRO ORTIZ	1	0,014242967	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	0,43%	 $128 	 $8.872 	 $3.872 	0,44%	0,436417355
JUNIO	BEBIDA	ALEJANDRO ORTIZ	1	0,008862613	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	0,43%	 $80 	 $8.920 	 $3.920 	0,44%	0,439476744
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,096376834	 $1.000 	 $1.800 	2	 $2.000 	 $3.600 	 $1.600 	0,17%	 $347 	 $3.253 	 $1.253 	0,16%	0,38519111
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,003253008	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $47 	 $14.353 	 $6.353 	0,71%	0,44263132
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,093916304	 $1.000 	 $1.800 	7	 $7.000 	 $12.600 	 $5.600 	0,60%	 $1.183 	 $11.417 	 $4.417 	0,56%	0,386860664
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,020814741	 $1.000 	 $1.800 	7	 $7.000 	 $12.600 	 $5.600 	0,60%	 $262 	 $12.338 	 $5.338 	0,61%	0,432634887
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,06247757	 $1.000 	 $1.800 	5	 $5.000 	 $9.000 	 $4.000 	0,43%	 $562 	 $8.438 	 $3.438 	0,42%	0,407421585
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,040585888	 $1.000 	 $1.800 	6	 $6.000 	 $10.800 	 $4.800 	0,51%	 $438 	 $10.362 	 $4.362 	0,51%	0,420942898
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,012100149	 $1.000 	 $1.800 	10	 $10.000 	 $18.000 	 $8.000 	0,85%	 $218 	 $17.782 	 $7.782 	0,88%	0,437639802
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,071045554	 $1.000 	 $1.800 	1	 $1.000 	 $1.800 	 $800 	0,09%	 $128 	 $1.672 	 $672 	0,08%	0,401956083
MAYO	BEBIDA	ALEJANDRO ORTIZ	1	0,001635902	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $24 	 $14.376 	 $6.376 	0,71%	0,443534121
SEPTIEMBRE	BEBIDA	ALEJANDRO ORTIZ	1	0,09945258	 $1.000 	 $1.800 	1	 $1.000 	 $1.800 	 $800 	0,09%	 $179 	 $1.621 	 $621 	0,08%	0,38309128
SEPTIEMBRE	BEBIDA	ALEJANDRO ORTIZ	1	0,081354493	 $1.000 	 $1.800 	2	 $2.000 	 $3.600 	 $1.600 	0,17%	 $293 	 $3.307 	 $1.307 	0,16%	0,3952449
SEPTIEMBRE	BEBIDA	ALEJANDRO ORTIZ	1	0,04171869	 $1.000 	 $1.800 	8	 $8.000 	 $14.400 	 $6.400 	0,68%	 $601 	 $13.799 	 $5.799 	0,68%	0,420258384
SEPTIEMBRE	BEBIDA	ALEJANDRO ORTIZ	1	0,09632402	 $1.000 	 $1.800 	10	 $10.000 	 $18.000 	 $8.000 	0,85%	 $1.734 	 $16.266 	 $6.266 	0,80%	0,385227042
SEPTIEMBRE	BEBIDA	ALEJANDRO ORTIZ	1	0,012548891	 $1.000 	 $1.800 	9	 $9.000 	 $16.200 	 $7.200 	0,77%	 $203 	 $15.997 	 $6.997 	0,79%	0,437384241
SEPTIEMBRE	BEBIDA	ALEJANDRO ORTIZ	1	0,076522335	 $1.000 	 $1.800 	11	 $11.000 	 $19.800 	 $8.800 	0,94%	 $1.515 	 $18.285 	 $7.285 	0,90%	0,398409321
AGOSTO	CARNE	MIGUELO JUANETE	2	0,060399145	 $5.000 	 $9.000 	3	 $15.000 	 $27.000 	 $12.000 	1,28%	 $1.631 	 $25.369 	 $10.369 	1,25%	0,408732386
AGOSTO	CARNE	MIGUELO JUANETE	2	0,095700872	 $5.000 	 $9.000 	4	 $20.000 	 $36.000 	 $16.000 	1,70%	 $3.445 	 $32.555 	 $12.555 	1,61%	0,385650679
AGOSTO	CARNE	MIGUELO JUANETE	2	0,06156329	 $5.000 	 $9.000 	1	 $5.000 	 $9.000 	 $4.000 	0,43%	 $554 	 $8.446 	 $3.446 	0,42%	0,40799891
